N°;Prefijo Departamento;Departamento;Provincia;Localidad;Proyecto;Nombre de ODN/ODN Name;Nombre_de_OLT/OLT_Name;OUTDOOR/INDOOR;MODELO DE OLT;NAP (Qty);Usuarios Proyectados;Urb/Rur;OLT Location;RPM;Nombre de OLT (en  el prompt de OLT);Latitud OLT (Grados decimales (DD)) Ej: 41.40338;Longitud OLT (Grados decimales (DD)) Ej: 2.17403.;Status;OLT Upgrade;Fecha ATP ODN/ATP ODN Date;Fecha de Comisionamiento OLT/OLT Commissioning Date;Fecha ATP Instalación Gabinete/ATP Installation Cabinet Date;Fecha ATP OLT de Servicios/Services ATP OLT Date;Fecha ATP OTDR/ATP OTDR Date;Fecha ATP Energía/Date ATP Energy;Sitio de interconexión a OSN (capa 2);Equipo de agregación (Carrier Entel) - A;PUERTO AGREGADOR - A;Equipo de agregación (Carrier Entel) - B;PUERTO AGREGADOR - B;Equipo de agregación (Carrier Entel) - Name Location (Nombre de localidad/sitio);Latitud Agregador (Grados decimales (DD)) Ej: 41.40338;Longitud Agregador (Grados decimales (DD)) Ej: 2.17403.;FECHA DE HABILITACION - NUEVO NETNUMEN;"SEGMENTO
IP OLT GESTIÓN";GATEWAY GESTIÓN;IP OLT GESTIÓN;VLAN TR069;SEGMENTO IP POOL EASY GATEWAY TR069;VLAN DE GESTIÓN;VLANs OUTER PPPoE;VLANs OUTER PPPoE(SECOND);VLANs OUTER VPN & IPoE ;VLAN OUTER TELEFONIA;IP SEGMENTO DE RED TELEFONIA/VOICE SEGMENT;VLAN OUTER IPTV;IP SEGMENTO DE RED IPTV/IPTV SEGMENT;SEGMENTO IP OTDR;GATEWAY IP OTDR;IP OTDR;VLAN OTDR;SEGMENTO IP Modulo de Energia (ETMC);GATEWAY IP Modulo de Energia (ETMC);IP Modulo de Energia (ETMC);VLAN MODULO DE ENERGÍA (ETMC)
65;CBB;COCHABAMBA;Carrasco;MARIPOSAS;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;MARIPOSAS;OUTDOOR;ZTE - C620;NA;1024;Rural;MARIPOSAS;MAICKOL QUINTEROS;OLT_MARIPOSAS_CBB;-1,700,967;-65,040,774;;;;;;;;;;"Se reintalara el DWDM que pertenece a Jachapampa; Brazo A: Chimore (AGG Villa Tunari-03), Brazo B: Senda 6 (AGG Valle Central-01)";CBB-AGG-VILLA-TUNARI-03 0/0/0/12 CBB-AGG-VALLE-CENTRAL-01 0/0/0/12;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.249.103.240/28;10.249.103.241;10249103246;4008;;939;1233;;1712;3972;10.247.79.0/24;4002;10.119.176.0/22;10.129.177.0/28;10.129.177.1;10.129.177.6;940;10.129.181.0/28;10.129.181.1;10.129.181.6;941
66;CBB;COCHABAMBA;Carrasco;CESARZAMA;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;CESARZAMA;OUTDOOR;ZTE - C620;NA;1024;Rural;CESARZAMA;MAICKOL QUINTEROS;OLT_CESARZAMA_CBB;-16,995,818;-6,507,737;;;;;;;;;;Brazo A: Chimore (AGG Villa Tunari-03), Brazo B: Senda 6 (AGG: Valle Central-01);CBB-AGG-VILLA-TUNARI-03 0/0/0/13 CBB-AGG-VALLE-CENTRAL-01 0/0/0/13;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.249.103.240/28;10.249.103.241;10249103247;4008;;939;1234;;1713;3973;10.247.82.0/24;4003;10.119.188.0/24;10.129.177.0/28;10.129.177.1;10.129.177.7;940;10.129.181.0/28;10.129.181.1;10.129.181.7;941
67;CBB;COCHABAMBA;Chapare;ISINUTA;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;ISINUTA;OUTDOOR;ZTE - C620;NA;1024;Rural;RIO BLANCO AGRARIO;MAICKOL QUINTEROS;OLT_ISINUTA_CBB;-167.326;-656.372;;;;;;;;;;Villa Tunari-01 (TX se intercepta cable de fo de villa tunari a San Gabriel);CBB-AGG-VILLA-TUNARI-01 0/0/0/16;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.194.8.160/27 ;10.194.8.161;10.194.8.167;4008;;939;1235;;1710;3974;10.247.80.0/24;4000;10.119.180.0/22;10.36.29.96/28;10.36.29.97;10.36.29.102;940;10.129.5.96/28;10.129.5.97;10.129.5.102;941
68;CBB;COCHABAMBA;Carrasco;RIO BLANCO AGRARIO;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;RIO_BLANCO_AGRARIO;OUTDOOR;ZTE - C620;NA;1024;Rural;ISINUTA;MAICKOL QUINTEROS;OLT_RIO_BLANCO_AGRARIO_CBB;-1,722,699;-64,454,508;;;;;;;;;;"Se reintalara el equipo DWDM de Viluyo Arque; Brazo A: DWDM Entre Rios (AGG Valle Central-02), Brazo B: Bulo Bulo (AGG Bulo Bulo)";CBB-AGG-VALLE-CENTRAL-02 0/0/0/11 CBB-AGG-BULO-BULO-01 0/0/0/11;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.194.10.96/28;10.194.10.97;10.194.10.100;4008;;939;1236;;1710;3975;10.247.81.0/24;4000;10.119.186.0/23;10.129.177.16/28;10.129.177.17;10.129.177.20;940;10.129.181.16/28;10.129.181.17;ASIGNAR;941
69;PTS;POTOSI;Chayanta;RAVELO;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;RAVELO;OUTDOOR;ZTE - C620;NA;1024;Rural;RAVELO;JOEL GUTIERREZ;OLT_RAVELO_PTS;-18,786,358;-65,506,639;;;;;;;;;;LLALLAGUA;T0/0/0/9;LLALLAGUA;T0/0/0/9;AGREGADOR CENTRAL 9901 LLALLAGUA;REGIONAL/ZTE;REGIONAL/ZTE;17/3/2023;10.249.103.192/28;10249103193;10.249.103.197;4008;REGIONAL;939;4083;;4084;4085;10.121.198.0/24;2301;10.114.146.0/24;10.36.30.80/28;10.36.30.81;10.36.30.85;940;10.129.6.80/28;10.129.6.81;10.129.6.85;941
70;PTS;POTOSI;Alonso de Ibañez;SACACA;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;SACACA;OUTDOOR;ZTE - C620;NA;1024;Rural;SACACA;JOEL GUTIERREZ;OLT_SACACA_PTS;-18,073,684;-66,385,909;;;;;;;;;;LLALLAGUA;T0/0/0/10;LLALLAGUA;T0/0/0/10;AGREGADOR CENTRAL 9901 LLALLAGUA;REGIONAL/ZTE;REGIONAL/ZTE;17/3/2023;10.249.103.192/28;10249103193;10.249.103.198;4008;REGIONAL;939;4086;;4087;4088;10.121.199.0/24;2302;10.114.147.0/24;10.36.30.80/28;10.36.30.81;10.36.30.86;940;10.129.6.80/28;10.129.6.81;10.129.6.86;941
71;CHU;CHUQUISACA;Nor Cinti;VILLA CHARCAS;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;VILLA_CHARCAS;OUTDOOR;ZTE - C620;NA;1024;Rural;VILLA CHARCAS;JOEL GUTIERREZ;OLT_VILLA_CHARCAS_CHU;-20,730,686;-64,883,735;;;;;;;;;;AGG_Camargo;REGIONAL/ZTE;AGG_Camargo;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;17/3/2023;10.194.8.32/27;10.194.8.33;10.194.8.38;4008;REGIONAL;939;4030;;4031;4033;10.121.172.0/24;4034;10.114.198.0/23;10.36.29.176/28;10.36.29.177/28;10.36.29.181;940;10.129.5.176/28;10.129.5.177;10.129.5.181;941
72;LPZ;LA PAZ;Larecaja;GUANAY;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;GUANAY;OUTDOOR;ZTE - C620;NA;1024;Rural;GUANAY;ANGEL VELIZ;OLT_GUANAY_LPZ;-15,497,568;-67,879,352;;;;;;;;;;CE - Caranavi;Te0/0/0/22;CE - Caranavi;Te0/0/0/22;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;17/3/2023;10.194.9.160/27;10.194.9.161;10.194.9.167;4008;REGIONAL;939;1223;;1225;1134;10.253.110.0/24;2105;10.114.80.0/23;10.36.28.64/28;10.36.28.65;10.36.28.70;1020;10.36.31.64/28;10.36.31.65;10.36.31.70;1215
73;LPZ;LA PAZ;Abel Iturralde;IXIAMAS;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;IXIAMAS;OUTDOOR;ZTE - C620;NA;1024;Rural;IXIAMAS;ANGEL VELIZ;OLT_IXIAMAS_LPZ;-13,761,707;-68,128,793;;;;;;;;;;CE - Caranavi;Te0/0/0/27;CE - Caranavi;Te0/0/0/27;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;17/3/2023;10.194.9.160/27;10.194.9.161;10.194.9.172;4008;;939;1238;;1240;1139;10.253.115.0/24;2111;10.114.69.0/24;10.36.28.64/28;10.36.28.65;10.36.28.75;1020;10.36.31.64/28;10.36.31.65;10.36.31.75;1215
74;LPZ;LA PAZ;Inquisivi;CAJUATA;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;CAJUATA;OUTDOOR;ZTE - C620;NA;1024;Rural;CAJUATA;ANGEL VELIZ;OLT_CAJUATA_LPZ;-16,694,594;-67,165,033;;;;;;;;;;CE - Caranavi;Te0/0/0/30;CE - Caranavi;Te0/0/0/30;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;17/3/2023;10.194.9.160/27;10.194.9.161;10.194.9.174;4008;;939;1244;;1246;1141;10.253.118.0/24;2113;10.114.90.0/23;10.36.28.64/28;10.36.28.65;10.36.28.77;1020;10.36.31.64/28;10.36.31.65;10.36.31.77;1215
75;LPZ;LA PAZ;Sud Yungas;PALOS BLANCOS;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;PALOS_BLANCOS;OUTDOOR;ZTE - C620;NA;1024;Rural;PALOS BLANCOS;ANGEL VELIZ;OLT_PALOS_BLANCOS_LPZ;-15,586,196;-67,250,694;;;;;;;;;;CE - Caranavi;Te0/0/0/23;CE - Caranavi;Te0/0/0/23;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;17/3/2023;10.194.9.160/27;10.194.9.161;10.194.9.168;4008;;939;1226;;1228;1135;10.253.111.0/24;2106;10.114.82.0/23;10.36.28.64/28;10.36.28.65;10.36.28.71;1020;10.36.31.64/28;10.36.31.65;10.36.31.71;1215
76;LPZ;LA PAZ;Aroma;COLQUENCHA;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;COLQUENCHA;OUTDOOR;ZTE - C620;NA;1024;Rural;COLQUENCHA;ANGEL VELIZ;OLT_COLQUENCHA_LPZ;-16,929,525;-68,250,817;;;;;;;;;;CE-CENTRAL-03;Te0/0/0/2/8;CE-CENTRAL-03;Te0/0/0/2/8;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;5/4/2023;10.57.92.96/28;10.57.92.97/28;10.57.92.103;4008;REGIONAL;939;4060;;4062;2237;10.253.116.0/24;2282;10.114.88.0/23;10.36.28.80/28;10.36.28.81;10.36.28.86;1020;10.36.31.80/28;10.36.31.81/28;10.36.31.86;1220
77;LPZ;LA PAZ;Inquisivi;QUIME;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;QUIME;OUTDOOR;ZTE - C620;NA;1024;Rural;QUIME;ANGEL VELIZ;OLT_QUIME_LPZ;-16,979,937;-67,212,452;;;;;;;;;;CE - Caranavi;Te0/0/0/26;CE - Caranavi;Te0/0/0/26;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;17/3/2023;10.194.9.160/27;10.194.9.161;10.194.9.171;4008;;939;1235;;1237;1138;10.253.114.0/24;2109;10.114.68.0/24;10.36.28.64/28;10.36.28.65;10.36.28.74;1020;10.36.31.64/28;10.36.31.65;10.36.31.74;1215
78;LPZ;LA PAZ;Nor Yungas;CORIPATA;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;CORIPATA;OUTDOOR;ZTE - C620;NA;1024;Rural;CORIPATA;ANGEL VELIZ;OLT_CORIPATA_LPZ;-16,306,682;-67,597,053;;;;;;;;;;CE - Caranavi;Te0/0/0/24;CE - Caranavi;Te0/0/0/24;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;17/3/2023;10.194.9.160/27;10.194.9.161;10.194.9.169;4008;;939;1229;;1231;1136;10.253.112.0/24;2107;10.114.84.0/23;10.36.28.64/28;10.36.28.65;10.36.28.72;1020;10.36.31.64/28;10.36.31.65;10.36.31.72;1215
79;LPZ;LA PAZ;Pacajes;CORO CORO;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;CORO_CORO;OUTDOOR;ZTE - C620;NA;1024;Rural;CORO CORO;ANGEL VELIZ;OLT_CORO_CORO_LPZ;-17,181,295;-68,449,054;;1;;2-mar.-2023;;;;;;VIACHA;Te0/0/2/1;VIACHA;Te0/0/2/1;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;45050;10.194.9.192/27;10.194.9.193;10.194.9.197;4008;;939;1140;;1142;1136;10.253.108.0/24;2101;10.153.122.0/24;10.36.28.112/29;10.36.28.113;10.36.28.116;1020;10.36.31.112/29;10.36.31.113;10.36.31.116;1220
80;LPZ;LA PAZ;Larecaja;TIPUANI;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;TIPUANI;OUTDOOR;ZTE - C620;NA;1024;Rural;TIPUANI;ANGEL VELIZ;OLT_TIPUANI_LPZ;-15,567,887;-68,018,672;;;;;;;;;;CE - Caranavi;Te0/0/0/29;CE - Caranavi;Te0/0/0/29;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;17/3/2023;10.194.9.160/27;10.194.9.161;10.194.9.173;4008;;939;1241;;1243;1140;10.253.109.0/24;2112;10.114.70.0/24;10.36.28.64/28;10.36.28.65;10.36.28.76;1020;10.36.31.64/28;10.36.31.65;10.36.31.76;1215
81;LPZ;LA PAZ;Manco Kapac;TITO YUPANQUI;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;TITO_YUPANQUI;OUTDOOR;ZTE - C620;NA;1024;Rural;TITO YUPANQUI;ANGEL VELIZ;OLT_TITO_YUPANQUI_LPZ;-16,191,711;-68,953,244;;;;;;;;;;HUARINA;Te0/0/0/17;HUARINA;Te0/0/0/17;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;45050;10.194.10.208/28;10.194.10.208;10.194.10.212;4008;;939;1670;;1672;2238;10.253.117.0/24;2282;10.114.71.0/24;10.36.28.96/28;10.36.28.97;10.36.28.100;1020;10.36.31.96/28;10.36.31.97;10.36.31.100;1220
82;LPZ;LA PAZ;Larecaja;MAPIRI;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;MAPIRI;OUTDOOR;ZTE - C620;NA;1024;Rural;MAPIRI;ANGEL VELIZ;OLT_MAPIRI_LPZ;-15,309,179;-68,215,139;;;;;;;;;;CE - Caranavi;Te0/0/0/25;CE - Caranavi;Te0/0/0/25;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;17/3/2023;10.194.9.160/27;10.194.9.161;10.194.9.170;4008;;939;1232;;1234;1137;10.253.113.0/24;2108;10.114.86.0/23;10.36.28.64/28;10.36.28.65;10.36.28.73;1020;10.36.31.64/28;10.36.31.65;10.36.31.73;1215
83;LPZ;LA PAZ;Bautista Saavedra;YANACACHI;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;YANACACHI;OUTDOOR;ZTE - C620;NA;1024;Rural;YANACACHI;ANGEL VELIZ;OLT_YANACACHI_LPZ;-16,399,444;-67,736,666;;;;;;;;;Yanacachi;Caranavi;;;;;-15.833667;-67.566639;;10.194.9.160/27;10.194.9.161;10.194.9.175;4008;;939;1247;1248;1249;1142;10.253.70.0/24;2114;10.114.92.0/24;10.129.170.0/28;10.129.170.1;10.129.170.4;1021;10.129.182.0/28;10.129.182.1;10.129.182.4;1216
84;LPZ;LA PAZ;Sud Yungas;IRUPANA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;IRUPANA;OUTDOOR;ZTE - C620;NA;1024;Rural;IRUPANA;ANGEL VELIZ;OLT_IRUPANA_LPZ;-16,473,342;-67,451,854;;;;;;;;;Irupana;Caranavi;;;;;-15.833667;-67.566639;;10.194.9.160/27;10.194.9.161;10.194.9.176;4008;;939;1250;1251;1252;1143;10.253.71.0/24;2115;10.114.93.0/24;10.36.28.64/28;10.36.28.65;10.36.28.78;1020;10.36.31.64/28;10.36.31.65;10.36.31.78;1215
85;LPZ;LA PAZ;Inquisivi;LICOMA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;LICOMA;OUTDOOR;ZTE - C620;NA;1024;Rural;LICOMA;ANGEL VELIZ;OLT_LICOMA_LPZ;-16,804,597;-67,202,811;;;;;;;;;Licoma;Caranavi;;;;;-15.833667;-67.566639;;10.194.9.160/27;10.194.9.161;10.194.9.177;4008;;939;1253;1254;1255;1144;10.253.72.0/24;2116;10.114.94.0/24;10.129.178.0/28;10.129.178.1;10.129.178.5;1021;10.129.182.0/28;10.129.182.1;10.129.182.5;1216
86;LPZ;LA PAZ;Ingavi;JESÚS DE MACHACA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;JESÚS_DE_MACHACA;OUTDOOR;ZTE - C620;NA;1024;Rural;JESÚS DE MACHACA;ANGEL VELIZ;OLT_JESÚS_DE_MACHACA_LPZ;-16,746,181;-68,809,367;;;;;;;;;Jesús de Machaca;Viacha;;;;;-16.653804;-68.317654;;10.194.9.192/27;10.194.9.193;10.194.9.198;4008;;939;1143;1144;1145;1137;10.253.73.0/24;2102;10.114.95.0/24;10.36.28.112/29;10.36.28.113;10.36.28.117;1020;10.36.31.112/29;10.36.31.113;10.36.31.117;1220
87;LPZ;LA PAZ;Aroma;AYO AYO;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;AYO_AYO;OUTDOOR;ZTE - C620;NA;1024;Rural;AYO AYO;ANGEL VELIZ;OLT_AYO_AYO_LPZ;-17,090,988;-68,002,627;;;;;;;;;Ayo Ayo;Calamarca;;;;;;;;10.194.10.224/28;10.194.10.225;10.194.10.228;4008;;939;4040;4041;4042;2232;10.253.74.0/24;2296;10.114.96.0/24;10.36.28.120/29;10.36.28.121;10.36.28.124;1020;10.36.31.120/29;10.36.31.121;10.36.31.124;1220
88;LPZ;LA PAZ;Aroma;CALA CALA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;CALA_CALA;OUTDOOR;ZTE - C620;NA;1024;Rural;CALA CALA;ANGEL VELIZ;OLT_CALA_CALA_LPZ;-1,748,502;-67,514,784;;;;;;;;;Cala Cala;Calamarca;;;;;;;;10.194.10.232/29;10.194.10.233;10.194.10.236;4008;;939;4047;4048;4049;2235;10.253.75.0/24;2297;10.114.97.0/24;10.129.178.16/28;10.129.178.17;10,129,178,120;1023;10.129.182.16/29;10.129.182.17;10.129.182.20;1222
89;LPZ;LA PAZ;Camacho;PUERTO CARABUCO;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;PUERTO_CARABUCO;OUTDOOR;ZTE - C620;NA;1024;Rural;PUERTO CARABUCO;ANGEL VELIZ;OLT_PUERTO_CARABUCO_LPZ;-1,576,059;-6,906,928;;;;;;;;;Puerto Carabuco;Huarina;;;;;;;;10.194.10.216/29;10.194.10.217;10.194.10.219;4008;;939;1685;1686;1687;2241;10.253.78.0/24;2285;10.114.100.0/24;10.36.28.104/29;10.36.28.105;10.36.28.108;1021;10.36.31.104/29;10.36.31.105;10.36.31.108;1221
90;LPZ;LA PAZ;Franz Tamayo;PELECHUCO;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;PELECHUCO;OUTDOOR;ZTE - C620;NA;1024;Rural;PELECHUCO;ANGEL VELIZ;OLT_PELECHUCO_LPZ;-14,822,657;-69,069,045;;;;;;;;;Pelechuco;Huarina;;;;;;;;10.194.10.208/29;10.194.10.209;10.194.10.213;4008;;939;1673;1674;1675;2239;10.253.76.0/24;2283;10.114.98.0/24;10.36.28.96/29;10.36.28.97;10.36.28.101;1020;10.36.31.96/29;10.36.31.97;10.36.31.101;1220
91;LPZ;LA PAZ;Bautista Saavedra;CHARAZANI;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;CHARAZANI;OUTDOOR;ZTE - C620;NA;1024;Rural;CHARAZANI;ANGEL VELIZ;OLT_CHARAZANI_LPZ;-1,517,808;-68,992,176;;;;;;;;;Charazani;Huarina;;;;;;;;10.194.10.208/29;10.194.10.209;10.194.10.214;4008;;939;1676;1677;1678;2240;10.253.77.0/24;2284;10.114.99.0/24;10.36.28.96/29;10.36.28.97;10.36.28.102;1020;10.36.31.96/29;10.36.31.97;10.36.31.102;1220
92;LPZ;LA PAZ;Camacho;PUERTO ACOSTA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;PUERTO_ACOSTA;OUTDOOR;ZTE - C620;NA;1024;Rural;PUERTO ACOSTA;ANGEL VELIZ;OLT_PUERTO_ACOSTA_LPZ;-1,553,661;-69,259,683;;;;;;;;;Puerto Acosta;Huarina;;;;;;;;10.194.10.216/29;10.194.10.217;10.194.10.220;4008;;939;1688;1689;1690;2242;10.253.79.0/24;2286;10.114.101.0/24;10.36.28.104/29;10.36.28.105;10.36.28.109;1021;10.36.31.104/29;10.36.31.105;10.36.31.109;1221
93;LPZ;LA PAZ;Omasuyos;ANCORAIMES;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;ANCORAIMES;OUTDOOR;ZTE - C620;NA;1024;Rural;ANCORAIMES;ANGEL VELIZ;OLT_ANCORAIMES_LPZ;-15,897,429;-68,905,705;;;;;;;;;Ancoraimes;Huarina;;;;;;;;10.194.10.216/29;10.194.10.217;10.194.10.221;4008;;939;1691;1692;1693;2243;10.253.119.0/24;2287;10.114.102.0/24;10.36.28.104/29;10.36.28.105;10.36.28.110;1021;10.36.31.104/29;10.36.31.105;10.36.31.110;1221
94;CHU;CHUQUISACA;Tomina;TOMINA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;TOMINA;OUTDOOR;ZTE - C620;NA;1024;Rural;TOMINA;JOEL GUTIERREZ;OLT_TOMINA_CHU;-1,919,078;-6,446,217;;;;;;;;;Tomina;Padilla;;;;;-19.307861;-64.309917;;10.194.8.64/27;10.194.8.65;10.194.8.72;4008;;939;4042;;4043;4044;10.121.174.0/24;4045;10.114.192.0/24;10.36.29.160/28;10.36.29.161;10.36.29.167;940;10.129.5.160/28;10.129.5.161;10.129.5.167;941
95;CHU;CHUQUISACA;Juana Azurduy de Padilla;TARVITA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;TARVITA;OUTDOOR;ZTE - C620;NA;1024;Rural;TARVITA;JOEL GUTIERREZ;OLT_TARVITA_CHU;-19,920,556;-64,490,778;;;;;;;;;Tarvita;Padilla;;;;;-19.307861;-64.309917;;10.194.8.64/27;10.194.8.65;10.194.8.73;4008;;939;4046;;4047;4048;10.121.175.0/24;4049;10.114.193.0/24;10.36.29.160/28;10.36.29.161;10.36.29.168;940;10.129.5.160/28;10.129.5.161;10.129.5.168;941
96;CHU;CHUQUISACA;Tomina;ALCALÁ;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;ALCALÁ;OUTDOOR;ZTE - C620;NA;1024;Rural;ALCALÁ;JOEL GUTIERREZ;OLT_ALCALÁ_CHU;-19,364,917;-64,397,056;;;;;;;;;Alcalá;Zudañes;;;;;-19.101172;-64.69949;;10.249.103.208/28;10249103209;10249103214;4008;;939;4013;;4015;4019;10.121.176.0/24;4021;10.114.194.0/24;10.36.29.192/28;10.36.29.193;10.36.29.198;940;10.129.5.192/28;10.129.5.193;10.129.5.198;941
97;CHU;CHUQUISACA;Tomina;EL VILLAR;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;EL_VILLAR;OUTDOOR;ZTE - C620;NA;1024;Rural;EL VILLAR;JOEL GUTIERREZ;OLT_EL_VILLAR_CHU;-19,624,225;-64,320,036;;;;;;;;;El Villar;Zudañes;;;;;-19.101172;-64.69949;;10.249.103.208/28;10249103209;10249103215;4008;;939;4022;;4023;4024;10.121.177.0/24;4025;10.114.195.0/24;10.36.29.192/28;10.36.29.193;10.36.29.199;940;10.129.5.192/28;10.129.5.193;10.129.5.199;941
98;CHU;CHUQUISACA;Nor Cinti;SAN LUCAS;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;SAN_LUCAS;OUTDOOR;ZTE - C620;NA;1024;Rural;SAN LUCAS;JOEL GUTIERREZ;OLT_SAN_LUCAS_CHU;-2,010,611;-6,513,817;;;;;;;;;San Lucas;Camargo;;;;;-20.640249;-65.210716;;10.194.8.32/27;10.194.8.33;10.194.8.39;4008;;939;4035;;4036;4037;10.121.178.0/24;4038;10.114.196.0/24;10.36.29.176/28;10.36.29.177;10.36.29.182;940;10.129.5.176/28;10.129.5.177;10.129.5.182;941
99;CHU;CHUQUISACA;Luis Calvo;MACHARETÍ;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;MACHARETÍ;OUTDOOR;ZTE - C620;NA;1024;Rural;MACHARETÍ;JOEL GUTIERREZ;OLT_MACHARETÍ_CHU;-20,820,556;-633.465;;;;;;;;;Macharetí;Monteagudo;;;;;-19.797331;-63.954833;;10.249.103.232/29;10249103233;10249103236;4008;;939;4010;;4011;4012;10.121.179.0/24;4013;10.114.197.0/24;10.36.29.240/29;10.36.29.241;10.36.29.244;940;10.129.5.240/29;10.129.5.241;10.129.5.244;941
